task_number,n,confidence_threshold,total_accuracy,total_precision,total_recall,total_f1-score,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,2,0.0,0.2452801190784923,0.1776711953937877,0.2452801190784923,0.1933551530880588,0.2452801190784923,395.4,395.4,96.0,299.4,0.3206412825651303
1,2,0.05,0.2427479282644346,0.1842171280102744,0.2427479282644346,0.1945224170823845,0.242964762484817,395.4,395.2,92.8,302.4,0.3068783068783069
1,2,0.1,0.2272478345376174,0.1671565595167803,0.2272478345376174,0.173216800522724,0.2273685654238285,395.4,395.2,89.2,306.0,0.29150326797385623
1,2,0.15,0.2326262203707519,0.1774988783697434,0.2326262203707519,0.1866676829305503,0.2315856728002678,395.4,384.6,87.2,297.40000000000003,0.2932078009414929
1,2,0.2,0.235657802383774,0.1814240741905038,0.235657802383774,0.1902115065048377,0.2412046942444127,395.4,322.0,78.2,243.8,0.32075471698113206
1,2,0.25,0.2302269361687804,0.1661694029366747,0.2302269361687804,0.178561819949979,0.3039998827428417,395.4,172.2,51.8,120.39999999999999,0.43023255813953487
1,2,0.3,0.2370824440335144,0.1839568587324991,0.2370824440335144,0.1957825076761296,0.4155109591384101,395.4,86.2,32.6,53.6,0.6082089552238806
1,2,0.35,0.2314407236425732,0.1846908101423027,0.2314407236425732,0.1891882734994784,0.4919035137172769,395.4,52.8,24.2,28.599999999999998,0.8461538461538461
1,2,0.4,0.2329071287283425,0.181092659187958,0.2329071287283425,0.1851359709684899,0.5619739595442921,395.4,35.0,19.6,15.399999999999999,1.272727272727273
1,2,0.45,0.2271588592800374,0.1767138041573677,0.2271588592800374,0.1841637617407339,0.5688058847939683,395.4,35.6,19.6,16.0,1.225
1,2,0.5,0.2273863317868605,0.1688621217768572,0.2273863317868605,0.179826937125385,0.8912280701754387,395.4,16.2,10.0,6.199999999999999,1.6129032258064517
1,2,0.55,0.234151657060057,0.1862026721009882,0.234151657060057,0.1856272420150078,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.6000000000000001,0.2223976253957497,0.1584508248736021,0.2223976253957497,0.1740662492920106,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.65,0.2301704203750416,0.1726846831760722,0.2301704203750416,0.1825093753787539,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.7000000000000001,0.223613325942992,0.1689984165095402,0.223613325942992,0.1804850533639417,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.75,0.2249551609252806,0.1588506487731323,0.2249551609252806,0.1734200645627484,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.8,0.2328919892909605,0.1663569570873736,0.2328919892909605,0.1849607204085544,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.8500000000000001,0.2298624681590908,0.1632660520818044,0.2298624681590908,0.1771769084315945,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.9,0.237555452936527,0.1784978129883449,0.237555452936527,0.1883131821800531,1.0,395.4,6.2,6.2,0.0,inf
1,2,0.95,0.2366153142179766,0.1783060901272962,0.2366153142179766,0.190755969489101,1.0,395.4,6.2,6.2,0.0,inf
1,3,0.0,0.2411880983869421,0.2573513408034409,0.2411880983869421,0.2323745278265783,0.2411880983869421,398.6,398.6,94.2,304.40000000000003,0.30946123521681995
1,3,0.05,0.2564888991130339,0.2745928584944073,0.2564888991130339,0.2490641358998682,0.2657305034504375,398.6,381.6,100.4,281.20000000000005,0.35704125177809387
1,3,0.1,0.2612929214418794,0.2710687870202521,0.2612929214418794,0.2508694812208587,0.2710517693440109,398.6,380.4,99.4,281.0,0.35373665480427047
1,3,0.15,0.2483455358228009,0.2565420823171498,0.2483455358228009,0.2395620863023995,0.2597739345302325,398.6,377.0,96.2,280.8,0.3425925925925926
1,3,0.2,0.2455153981161684,0.2507694839642203,0.2455153981161684,0.2356128321386941,0.2613564760553206,398.6,367.6,94.8,272.8,0.3475073313782991
1,3,0.25,0.2676847611521848,0.2735918386992545,0.2676847611521848,0.2572688165066347,0.2979105905909187,398.6,331.2,96.0,235.2,0.40816326530612246
1,3,0.3,0.2467717387775798,0.2585550336622126,0.2467717387775798,0.2363446133371481,0.2907282023240884,398.6,270.6,78.2,192.40000000000003,0.4064449064449064
1,3,0.35,0.2536262134755517,0.2640145830589918,0.2536262134755517,0.2443385148565178,0.3154127509128894,398.6,223.0,69.2,153.8,0.4499349804941482
1,3,0.4,0.2568718795858885,0.2839206403922176,0.2568718795858885,0.2507757002961959,0.3279445595118946,398.6,186.8,59.8,127.00000000000001,0.4708661417322834
1,3,0.45,0.2587400557416264,0.2652594829699914,0.2587400557416264,0.2470807071717791,0.3462571228201085,398.6,136.2,44.6,91.6,0.4868995633187773
1,3,0.5,0.2442554329743357,0.2667635825682187,0.2442554329743357,0.241033629297707,0.2985488700615566,398.6,129.2,39.0,90.19999999999999,0.4323725055432373
1,3,0.55,0.2414328512793367,0.2549183055266776,0.2414328512793367,0.2329914962958144,0.3654292863820995,398.6,77.2,27.6,49.6,0.5564516129032259
1,3,0.6000000000000001,0.245713872809474,0.256959362825474,0.245713872809474,0.2378130740357006,0.34255330634278,398.6,58.4,19.0,39.4,0.48223350253807107
1,3,0.65,0.2472405803447381,0.255818518501724,0.2472405803447381,0.2389847712864344,0.3176786463758295,398.6,50.4,15.4,35.0,0.44
1,3,0.7000000000000001,0.2428459462332262,0.2507089052959839,0.2428459462332262,0.2350924849234988,0.3662632957545075,398.6,38.6,13.0,25.6,0.5078125
1,3,0.75,0.2525752086962091,0.250956072758137,0.2525752086962091,0.2385030029225792,0.3440990524831989,398.6,36.2,12.2,24.000000000000004,0.5083333333333332
1,3,0.8,0.247077616547318,0.2663502649538429,0.247077616547318,0.2399364610158832,0.3911235860913281,398.6,32.6,12.6,20.0,0.63
1,3,0.8500000000000001,0.2415424751515921,0.2599687437334882,0.2415424751515921,0.23402206431527,0.3709971509971509,398.6,33.8,11.8,21.999999999999996,0.5363636363636365
1,3,0.9,0.2561315972487344,0.2780718536169806,0.2561315972487344,0.2491426347791014,0.3910435178856232,398.6,32.4,12.0,20.4,0.5882352941176471
1,3,0.95,0.24135534135828,0.244957686357521,0.24135534135828,0.2304271696672559,0.3869143446852425,398.6,31.4,11.4,20.0,0.5700000000000001
1,4,0.0,0.1779088590547368,0.2493666596575043,0.1779088590547368,0.1882581371434246,0.1779088590547368,401.8,401.8,67.6,334.20000000000005,0.2022740873728306
1,4,0.05,0.1680206470763006,0.248614803993301,0.1680206470763006,0.1869833781993767,0.2584959365071765,401.8,247.2,63.8,183.39999999999998,0.3478735005452563
1,4,0.1,0.1686483302548405,0.2384258250218455,0.1686483302548405,0.1837383858379861,0.2493849548730723,401.8,250.6,60.8,189.8,0.3203371970495258
1,4,0.15,0.1553830763161257,0.2329254976560913,0.1553830763161257,0.1700552637431035,0.2308388414674545,401.8,244.4,55.2,189.2,0.29175475687103597
1,4,0.2,0.1736097469319853,0.2483696315916919,0.1736097469319853,0.185219095131531,0.2558482879548526,401.8,241.4,59.8,181.60000000000002,0.329295154185022
1,4,0.25,0.1722367073650469,0.2540741827760436,0.1722367073650469,0.1868388711567806,0.2573431503917677,401.8,247.2,62.4,184.79999999999998,0.33766233766233766
1,4,0.3,0.1571748938742047,0.2220026703562103,0.1571748938742047,0.1708608972830141,0.2432589076296928,401.8,234.8,56.6,178.20000000000002,0.3176206509539843
1,4,0.35,0.1611798973100986,0.2370418424173834,0.1611798973100986,0.1795095282021232,0.2673712447253622,401.8,195.6,50.6,145.0,0.3489655172413793
1,4,0.4,0.1711148580664892,0.2468746056408831,0.1711148580664892,0.1858811677779082,0.2775350045199764,401.8,191.4,50.6,140.8,0.359375
1,4,0.45,0.1625588971641717,0.2310593280098236,0.1625588971641717,0.1760963600679833,0.2747348328066735,401.8,173.8,47.4,126.4,0.37499999999999994
1,4,0.5,0.1671978396953823,0.2343144455206236,0.1671978396953823,0.1800810225991858,0.2743626377327065,401.8,168.2,44.8,123.39999999999999,0.36304700162074555
1,4,0.55,0.1686316470279988,0.238579827466325,0.1686316470279988,0.1804673392163008,0.338016018582932,401.8,111.2,36.6,74.6,0.49061662198391426
1,4,0.6000000000000001,0.16949006167963,0.2349554429668298,0.16949006167963,0.1775813086922095,0.3407904653320558,401.8,107.2,34.0,73.2,0.46448087431693985
1,4,0.65,0.1668598592174852,0.2335251198412029,0.1668598592174852,0.1802008366903322,0.3203002534805813,401.8,116.2,36.0,80.2,0.44887780548628425
1,4,0.7000000000000001,0.1681275821334114,0.2375823799204706,0.1681275821334114,0.1795329972671691,0.2989197480697483,401.8,89.8,26.0,63.8,0.40752351097178685
1,4,0.75,0.159727898290573,0.2423879495791361,0.159727898290573,0.1763822440140915,0.2904433167937618,401.8,98.0,28.6,69.4,0.41210374639769454
1,4,0.8,0.1608681340357102,0.2368091035649773,0.1608681340357102,0.1771660892409064,0.2884141867831004,401.8,87.8,25.4,62.4,0.40705128205128205
1,4,0.8500000000000001,0.1667415710204285,0.2311105929463043,0.1667415710204285,0.1810144493370022,0.2791829198178089,401.8,91.6,25.6,66.0,0.3878787878787879
1,4,0.9,0.1638362710395808,0.2404264283300436,0.1638362710395808,0.1797951329889594,0.3155057598535078,401.8,90.4,27.8,62.60000000000001,0.4440894568690095
1,4,0.95,0.1670516988500512,0.2370912469189837,0.1670516988500512,0.1782104746491475,0.2823179343179343,401.8,91.6,25.0,66.6,0.3753753753753754
1,5,0.0,0.1118970038631749,0.2431738476022369,0.1118970038631749,0.1239503327100332,0.1118970038631749,405.0,405.0,44.6,360.4,0.1237513873473918
1,5,0.05,0.1114230065690922,0.2382118238485776,0.1114230065690922,0.1244522207752478,0.3186891809507132,405.0,113.6,36.4,77.19999999999999,0.4715025906735752
1,5,0.1,0.118641720624225,0.2593365160241777,0.118641720624225,0.1245404841917543,0.3109325954665867,405.0,113.8,35.0,78.8,0.44416243654822335
1,5,0.15,0.104276343708995,0.2639520485396018,0.104276343708995,0.1225465997423266,0.3095640587468677,405.0,113.2,34.6,78.6,0.44020356234096697
1,5,0.2,0.1104400933568717,0.2402174400789582,0.1104400933568717,0.1216105256952186,0.2960453186259638,405.0,115.4,34.6,80.80000000000001,0.42821782178217815
1,5,0.25,0.1069040870139047,0.2378327028706394,0.1069040870139047,0.1145017223112978,0.2855478344974151,405.0,112.6,31.8,80.8,0.3935643564356436
1,5,0.3,0.0998376704770075,0.230922624395822,0.0998376704770075,0.1154194501555953,0.3086027208978029,405.0,107.6,33.4,74.19999999999999,0.45013477088948795
1,5,0.35,0.1089135433429194,0.2348050657207392,0.1089135433429194,0.1231320096283562,0.298908844214846,405.0,107.0,31.8,75.2,0.4228723404255319
1,5,0.4,0.1218200170729032,0.2500434785702906,0.1218200170729032,0.1281013070705069,0.3211535673724802,405.0,104.8,33.4,71.4,0.4677871148459383
1,5,0.45,0.1035329721972431,0.2302437853067978,0.1035329721972431,0.1169301361734396,0.2991443319758531,405.0,95.0,28.0,67.0,0.417910447761194
1,5,0.5,0.1062102319554928,0.250804493904479,0.1062102319554928,0.1209240536987582,0.2894201749618635,405.0,99.4,28.6,70.80000000000001,0.40395480225988695
1,5,0.55,0.1105740402620819,0.2655205613490691,0.1105740402620819,0.1280194985361878,0.322512347660416,405.0,79.6,25.8,53.8,0.47955390334572495
1,5,0.6000000000000001,0.1116811500497382,0.2513866386976385,0.1116811500497382,0.1292933729469722,0.325675589131643,405.0,72.0,23.2,48.8,0.4754098360655738
1,5,0.65,0.112017021584196,0.2423713688128783,0.112017021584196,0.1266560169092513,0.3206994610709781,405.0,72.0,22.8,49.2,0.46341463414634143
1,5,0.7000000000000001,0.1044332798373456,0.2399243023960753,0.1044332798373456,0.1231180285341387,0.3215981688961616,405.0,65.4,21.0,44.400000000000006,0.4729729729729729
1,5,0.75,0.1054196878549067,0.2292455237636431,0.1054196878549067,0.1185974673959474,0.3289480459719742,405.0,68.6,22.6,45.99999999999999,0.49130434782608706
1,5,0.8,0.1074282944247982,0.2457053936591967,0.1074282944247982,0.1221943292572701,0.3286612663228918,405.0,61.8,20.4,41.4,0.49275362318840576
1,5,0.8500000000000001,0.1055497682642576,0.2417031948102258,0.1055497682642576,0.12102759626912,0.3482377890427426,405.0,59.6,20.6,39.0,0.5282051282051282
1,5,0.9,0.1070671633751421,0.2243974251365955,0.1070671633751421,0.1176215438763744,0.3296822526678201,405.0,64.0,21.0,43.0,0.4883720930232558
1,5,0.95,0.1107185643941407,0.2530392324053763,0.1107185643941407,0.1263282623166978,0.3280549396403055,405.0,62.8,20.6,42.199999999999996,0.4881516587677726
1,6,0.0,0.0756871454703546,0.2250941716801676,0.0756871454703546,0.0779709897520979,0.0756871454703546,408.2,408.2,29.2,379.0,0.07704485488126649
1,6,0.05,0.0766686990535498,0.2898162641657548,0.0766686990535498,0.0811276578830888,0.4028750651103455,408.2,53.0,21.6,31.4,0.6878980891719746
1,6,0.1,0.0801021308596463,0.2803359787132308,0.0801021308596463,0.0879392815379487,0.4212872804644957,408.2,55.6,23.2,32.400000000000006,0.7160493827160492
1,6,0.15,0.078532562536601,0.2696666962456661,0.078532562536601,0.0825441994971719,0.3769245087125951,408.2,55.0,20.6,34.4,0.5988372093023256
1,6,0.2,0.0912600986471749,0.2943958328535905,0.0912600986471749,0.0866277876533965,0.4052331776509253,408.2,53.4,21.0,32.4,0.6481481481481481
1,6,0.25,0.0728106457991158,0.2650549289736048,0.0728106457991158,0.0774372873070019,0.3881746116557167,408.2,53.0,20.2,32.8,0.6158536585365854
1,6,0.3,0.09137526477628,0.2920209698166449,0.09137526477628,0.0847107625629298,0.4140199469618356,408.2,52.6,21.4,31.200000000000003,0.6858974358974358
1,6,0.35,0.0857581126969752,0.2720267950852394,0.0857581126969752,0.0882435660498515,0.4087173263493177,408.2,52.8,21.6,31.199999999999996,0.6923076923076924
1,6,0.4,0.080908520307542,0.2749964041161359,0.080908520307542,0.0804715768002032,0.4055938037865749,408.2,47.8,19.2,28.599999999999998,0.6713286713286714
1,6,0.45,0.0751698827262767,0.2518558880449395,0.0751698827262767,0.0751649161263973,0.4081400966183574,408.2,46.6,18.4,28.200000000000003,0.6524822695035459
1,6,0.5,0.0861734840432826,0.2645275133568572,0.0861734840432826,0.0855071443652349,0.3981631280697368,408.2,50.2,20.0,30.200000000000003,0.662251655629139
1,6,0.55,0.0744864506742315,0.276733005749568,0.0744864506742315,0.0806794123783592,0.4483124138353753,408.2,40.6,18.4,22.200000000000003,0.8288288288288287
1,6,0.6000000000000001,0.0782635136066406,0.2809731293735523,0.0782635136066406,0.0867129559302487,0.4802848852187826,408.2,39.4,18.4,21.0,0.8761904761904761
