task_number,n_components,confidence_threshold,total_accuracy,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,5,-inf,0.18602742381024653,0.18602742381024653,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-1000000.0,0.17392697118665268,0.17392697118665268,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-100000.0,0.1829568451518479,0.1829568451518479,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-10000.0,0.1836198513123668,0.1836198513123668,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-1000.0,0.18208149371441765,0.18208149371441765,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-100.0,0.1855608187171976,0.1855608187171976,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-15.0,0.18414647102313333,0.18414647102313333,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-10.0,0.17858665216303365,0.17858665216303365,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,5,-6.0,0.190811274390775,0.1898410561911818,2269.4,2240.0,429.8,1810.2,0.2374323279195669
1,5,0.0,0.1807581298480487,0.0,2269.4,0.0,0.0,0.0,
1,7,-inf,0.1832882389626256,0.1832882389626256,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-1000000.0,0.18363940760652048,0.18363940760652048,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-100000.0,0.18072348036118896,0.18072348036118896,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-10000.0,0.18559517156611646,0.18559517156611646,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-1000.0,0.17987106356488705,0.17987106356488705,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-100.0,0.18516898594419864,0.18516898594419864,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-15.0,0.18554734670463333,0.18554734670463333,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-10.0,0.18510252629086973,0.18510252629086973,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,7,-6.0,0.17835230056556522,0.1768947123972481,2269.4,2226.6,427.2,1799.3999999999999,0.2374124708236079
1,7,0.0,0.19057808023974565,0.0,2269.4,0.0,0.0,0.0,
1,10,-inf,0.18179120629839665,0.18179120629839665,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-1000000.0,0.1821083021098389,0.1821083021098389,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-100000.0,0.17450716998349408,0.17450716998349408,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-10000.0,0.1792131371257821,0.1792131371257821,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-1000.0,0.1819446991676263,0.1819446991676263,2269.4,2269.4,423.8,1845.6000000000001,0.22962722149978326
1,10,-100.0,0.18134623093631547,0.18134623093631547,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-15.0,0.17981048270718042,0.17981048270718042,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-10.0,0.18332633801424972,0.18332633801424972,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,10,-6.0,0.19091580047349246,0.19030941018291933,2269.4,2231.2,428.0,1803.1999999999998,0.2373558118899734
1,10,0.0,0.1851709021105508,0.0,2269.4,0.0,0.0,0.0,
1,15,-inf,0.17347593308310752,0.17347593308310752,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,15,-1000000.0,0.1797527868219126,0.1797527868219126,2269.4,2269.4,434.8,1834.6000000000001,0.23699989098441077
1,15,-100000.0,0.17066308287163293,0.17066308287163293,2269.4,2269.4,434.8,1834.6000000000001,0.23699989098441077
1,15,-10000.0,0.18520071543372985,0.18520071543372985,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,15,-1000.0,0.19379475586955608,0.19379475586955608,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,15,-100.0,0.18332220451753264,0.18332220451753264,2269.4,2269.4,434.8,1834.6000000000001,0.23699989098441077
1,15,-15.0,0.17983407374347676,0.17983407374347676,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,15,-10.0,0.18233875927222928,0.18233875927222928,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,15,-6.0,0.17973911208483515,0.17927681928948905,2269.4,2192.4,421.6,1770.8000000000002,0.23808448159024168
1,15,0.0,0.1738091576297583,0.0,2269.4,0.0,0.0,0.0,
1,20,-inf,0.17567940395094667,0.17567940395094667,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-1000000.0,0.17780516167289592,0.17780516167289592,2269.4,2269.4,435.2,1834.2,0.2372696543452186
1,20,-100000.0,0.18617883974471397,0.18617883974471397,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-10000.0,0.1859744060924469,0.1859744060924469,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-1000.0,0.19054553478037006,0.19054553478037006,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-100.0,0.17999190380850846,0.17999190380850846,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-15.0,0.18273755442912268,0.18273755442912268,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-10.0,0.17868490404472126,0.17868490404472126,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,20,-6.0,0.190335912181366,0.1894436263040414,2269.4,2193.4,422.0,1771.4,0.23822964886530426
1,20,0.0,0.16753178546674735,0.0,2269.4,0.0,0.0,0.0,
1,25,-inf,0.18744607324648893,0.18744607324648893,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-1000000.0,0.18036112404113866,0.18036112404113866,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-100000.0,0.1844502337573341,0.1844502337573341,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-10000.0,0.18313041770994212,0.18313041770994212,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-1000.0,0.17522115140444433,0.17522115140444433,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-100.0,0.1833456299664234,0.1833456299664234,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-15.0,0.17567126854415535,0.17567126854415535,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-10.0,0.18192172802051626,0.18192172802051626,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,25,-6.0,0.1773030221620885,0.17717938275549416,2269.4,2189.8,420.6,1769.2000000000003,0.23773456929685732
1,25,0.0,0.18844667631472173,0.0,2269.4,0.0,0.0,0.0,
1,28,-inf,0.18586295280806525,0.18586295280806525,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-1000000.0,0.1915136307727115,0.1915136307727115,2269.4,2269.4,435.0,1834.4,0.23713475795900565
