task_number,n_components,confidence_threshold,total_accuracy,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,5,-4.0,0.0724057980770665,0.1138089488637699,391.2,94.6,10.6,84.0,0.1261904761904762
1,5,-3.75,0.0724057980770665,0.1284804484042613,391.2,80.2,10.2,70.0,0.1457142857142857
1,5,-3.5,0.0724057980770665,0.1344129083490785,391.2,45.2,6.0,39.2,0.1530612244897959
1,5,-3.25,0.0724057980770665,0.0837905069248352,391.2,29.4,3.6,25.799999999999997,0.13953488372093026
1,5,-3.0,0.0724057980770665,0.0599099099099099,391.2,12.2,2.0,10.2,0.19607843137254904
1,5,-2.75,0.0724057980770665,0.0432432432432432,391.2,7.4,1.6,5.800000000000001,0.27586206896551724
1,5,-2.5,0.0724057980770665,0.0,391.2,0.0,0.0,0.0,
1,5,-2.25,0.0724057980770665,0.0,391.2,0.0,0.0,0.0,
1,6,-10.0,0.0419131978053857,0.0553887156612612,391.2,170.6,12.4,158.2,0.07838179519595449
1,6,-9.75,0.0672073872314522,0.0647247898491302,391.2,212.2,14.4,197.79999999999998,0.07280080889787666
1,6,-9.5,0.0672073872314522,0.0647247898491302,391.2,212.2,14.4,197.79999999999998,0.07280080889787666
1,6,-9.25,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-9.0,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-8.75,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-8.5,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-8.25,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-8.0,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-7.75,0.0672073872314522,0.0654442731293199,391.2,210.0,14.4,195.6,0.0736196319018405
1,6,-7.5,0.0672073872314522,0.0641276673527982,391.2,207.0,14.0,193.0,0.07253886010362694
1,6,-7.25,0.0672073872314522,0.0641276673527982,391.2,207.0,14.0,193.0,0.07253886010362694
1,6,-7.0,0.0672073872314522,0.0636035833087752,391.2,204.6,13.8,190.79999999999998,0.07232704402515724
1,6,-6.75,0.0672073872314522,0.0630554503865415,391.2,202.0,13.6,188.4,0.07218683651804671
1,6,-6.5,0.0672073872314522,0.063679191282249,391.2,197.4,13.6,183.8,0.07399347116430903
1,6,-6.25,0.0672073872314522,0.063679191282249,391.2,197.4,13.6,183.8,0.07399347116430903
1,6,-6.0,0.0672073872314522,0.0645164005845745,391.2,194.4,13.6,180.8,0.07522123893805309
1,6,-5.75,0.0672073872314522,0.0670103694632977,391.2,180.8,13.0,167.8,0.07747318235995232
1,6,-5.5,0.0672073872314522,0.0666718781673596,391.2,178.4,12.8,165.6,0.07729468599033817
1,6,-5.25,0.0672073872314522,0.0713552305299878,391.2,164.8,12.2,152.60000000000002,0.07994757536041938
1,6,-5.0,0.0672073872314522,0.0640039087126465,391.2,152.4,10.8,141.6,0.07627118644067797
1,6,-4.75,0.0672073872314522,0.0663692482911009,391.2,129.8,8.2,121.60000000000001,0.06743421052631578
1,6,-4.5,0.0672073872314522,0.068701259105524,391.2,111.4,7.8,103.60000000000001,0.07528957528957528
1,6,-4.25,0.0672073872314522,0.0803913064282733,391.2,92.2,7.2,85.0,0.08470588235294117
1,6,-4.0,0.0672073872314522,0.0900980112067484,391.2,88.8,7.2,81.6,0.08823529411764706
1,6,-3.75,0.0672073872314522,0.1038695503133449,391.2,71.4,6.8,64.60000000000001,0.10526315789473682
1,6,-3.5,0.0672073872314522,0.1247748730530446,391.2,52.8,6.8,46.0,0.14782608695652175
1,6,-3.25,0.0672073872314522,0.113705454666553,391.2,46.8,5.2,41.599999999999994,0.12500000000000003
1,6,-3.0,0.0672073872314522,0.0926528230876057,391.2,46.2,4.8,41.400000000000006,0.11594202898550722
1,6,-2.75,0.0672073872314522,0.1213250517598343,391.2,14.2,2.2,12.0,0.18333333333333335
1,6,-2.5,0.0672073872314522,0.0260869565217391,391.2,7.8,0.6,7.2,0.08333333333333333
1,6,-2.25,0.0672073872314522,0.0260869565217391,391.2,7.8,0.6,7.2,0.08333333333333333
1,7,-10.0,0.1181363010632642,0.1836349194170688,391.2,151.0,28.4,122.6,0.23164763458401305
1,7,-9.75,0.1076918286684635,0.1839450452384582,391.2,147.4,26.0,121.4,0.214168039538715
1,7,-9.5,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-9.25,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-9.0,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-8.75,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-8.5,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-8.25,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-8.0,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
